Family,Scientific name,Common name(s),Red List status,Population trend
UROPELTIDAE,Rhinophis drummondhayi,Drummond-hay's Earth Snake,NT,unknown
ELAPIDAE,Sinomicrurus japonicus,Japanese Coral Snake,NT,unknown
COLUBRIDAE,Sonora aemula,,NT,stable
COLUBRIDAE,Stegonotus muelleri,Muller's Wolf Snake,NT,decreasing
COLUBRIDAE,Stilosoma extenuatum,Short-tailed Snake,NT,decreasing
PSEUDOXYRHOPHIIDAE,Thamnosophis mavotenda,,NT,unknown
VIPERIDAE,Trimeresurus brongersmai,Brongersma's Pit Viper,NT,unknown
DIPSADIDAE,Trimetopon slevini,Slevin's Tropical Ground Snake,NT,unknown
TYPHLOPIDAE,Typhlops biminiensis,,NT,unknown
TYPHLOPIDAE,Typhlops syntherus,Barahona Peninsula Blindsnake,NT,unknown
VIPERIDAE,Vipera barani,,NT,decreasing
VIPERIDAE,Vipera lotievi,Lotiev's Viper,NT,decreasing
VIPERIDAE,Vipera monticola,Atlas Dwarf Viper,NT,decreasing
VIPERIDAE,Vipera transcaucasiana,Transcaucasian Long-nosed Viper,NT,decreasing
