Season Number,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Company Website,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Original Ask Amount,Original Ask Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Valuation Offered,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Number of sharks in deal
1,34,Scaling Ambitions,112,Twee in One,Beauty/Fashion,Reversible and convertible clothing,,1,,1,0,,,,,,,,30,7.5,400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,Scaling Ambitions,113,Green Protein,Food,Plant-Based Protein,,2,1,1,1,,2019,Mumbai,Maharashtra,,1200000,40,60,2,3000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,Scaling Ambitions,114,On2Cook,Food,Fastest Cooking Device,,1,1,,0,,,,,0,,,100,1,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,The Final Destination,115,Jain Shikanji,Food,Lemonade,,1,1,,0,,,Modinagar,Uttar Pradesh,,200000,,40,8,500,1,1,40,30,,133,10,7.5,,0,0,,10,7.5,,10,7.5,,10,7.5,,0,0,,0,0,,4
1,35,The Final Destination,116,Woloo,Technology,Washroom Finder,,3,1,2,,,,,,108,,,50,4,1250,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,The Final Destination,117,Elcare India,Medical,Carenting for Elders,,3,2,1,,,2021,Mumbai,Maharashtra,60,,30,100,2.5,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,Gateway To Shark Tank India,118,SneaKare,Beauty/Fashion,Shoe Sneaker kits storage crates,,1,1,,0,Young,2020,Delhi,Delhi,,700000,,20,5,400,1,1,21,12,,175,,,,7,4,,0,0,,7,4,,7,4,,0,0,,,,,3
1,36,Gateway To Shark Tank India,119,French Crown,Beauty/Fashion,Clothes,,2,2,,0,Middle,2017,Surat,Gujarat,7200,,70,150,0.33,45455,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,Gateway To Shark Tank India,120,Store My Goods,Services,Storage solutions,,3,2,1,1,,2020,,,100,,,100,1.75,5714,1,1,50,4,50,1250,,,,25,2,25,0,0,,0,0,,0,0,,25,2,25,,,,2
1,36,Gateway To Shark Tank India,121,Devnagri,Technology,Translation of language content,,2,2,,0,,2020,Delhi,Delhi,500,,,100,1,10000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
